u'Date', u'Time\nET', u'Statistic', u'For', u'Actual', u'Briefing Forecast', u'Market Expects', u'Prior', u'Revised\nFrom'
u'Feb 26', u'10:00 AM', u'New Home Sales', u'Jan', u'468K', u'400K', u'400K', u'427K', u'414K'
u'Feb 26', u'10:30 AM', u'Crude Inventories', u'02/22', u'0.068M', u'NA', u'NA', u'0.973M', u'-'
u'Feb 27', u'8:30 AM', u'Initial Claims', u'02/22', u'348K', u'335K', u'335K', u'334K', u'336K'
u'Feb 27', u'8:30 AM', u'Continuing Claims', u'02/15', u'2964K', u'2975K', u'2975K', u'2956K', u'2981K'
u'Feb 27', u'8:30 AM', u'Durable Orders', u'Jan', u'-1.0%', u'-0.2%', u'-1.1%', u'-5.3%', u'-4.2%'
u'Feb 27', u'8:30 AM', u'Durable Goods -ex transportation', u'Jan', u'1.1%', u'-0.6%', u'-0.3%', u'-1.9%', u'-1.3%'
u'Feb 27', u'10:30 AM', u'Natural Gas Inventories', u'02/22', u'-95 bcf', u'NA', u'NA', u'-250 bcf', u'-'
u'Feb 28', u'8:30 AM', None, u'Q4', u'2.4%', u'2.4%', u'2.6%', u'3.2%', u'-'
u'Feb 28', u'8:30 AM', None, u'Q4', u'1.6%', u'1.3%', u'1.3%', u'1.3%', u'-'
u'Feb 28', u'9:45 AM', u'Chicago PMI', u'Feb', u'59.8', u'55.0', u'56.0', u'59.6', u'-'
u'Feb 28', u'9:55 AM', None, u'Feb', u'81.6', u'82.0', u'81.5', u'81.2', u'-'
u'Feb 28', u'10:00 AM', u'Pending Home Sales', u'Jan', u'0.1%', u'-1.0%', u'0.8', u'-5.8%', u'-8.7%'
u'Mar 3', u'8:30 AM', u'Personal Income', u'Jan', u'0.3%', u'0.2%', u'0.3%', u'0.0%', u'-'
u'Mar 3', u'8:30 AM', u'Personal Spending', u'Jan', u'0.4%', u'-0.1%', u'0.1%', u'0.1%', u'0.4%'
u'Mar 3', u'8:30 AM', None, u'Jan', u'0.1%', u'0.1%', u'0.1%', u'0.1%', u'-'
u'Mar 3', u'10:00 AM', u'ISM Index', u'Feb', u'53.2', u'51.0', u'51.6', u'51.3', u'-'
u'Mar 3', u'10:00 AM', u'Construction Spending', u'Jan', u'0.1%', u'-0.7%', u'-0.1%', u'1.5%', u'0.1%'
u'Mar 3', u'2:00 PM', u'Auto Sales', u'Feb', u'-', u'NA', u'NA', u'5.1M', u'-'
u'Mar 3', u'2:00 PM', u'Truck Sales', u'Feb', u'-', u'NA', u'NA', u'7.0M', u'-'
u'Mar 5', u'7:00 AM', u'MBA Mortgage Index', u'03/01', u'9.4%', u'NA', u'NA', u'-8.5%', u'-'
u'Mar 5', u'8:15 AM', u'ADP Employment Change', u'Feb', u'139K', u'150K', u'150K', u'127K', u'175K'
u'Mar 5', u'10:00 AM', u'ISM Services', u'Feb', u'51.6', u'53.5', u'53.5', u'54.0', u'-'
u'Mar 5', u'10:30 AM', u'Crude Inventories', u'03/01', u'1.429M', u'NA', u'NA', u'0.068M', u'-'
u'Mar 5', u'2:00 PM', u"Fed's Beige Book", u'Mar', u'-', u'NA', u'NA', u'NA', u'-'
u'Mar 6', u'7:30 AM', u'Challenger Job Cuts', u'Feb', u'-24.4%', u'NA', u'NA', u'47.3%', u'-'
u'Mar 6', u'8:30 AM', u'Initial Claims', u'03/01', u'323K', u'335K', u'338K', u'349K', u'348K'
u'Mar 6', u'8:30 AM', u'Continuing Claims', u'02/22', u'2907K', u'2975K', u'2973K', u'2915K', u'2964K'
u'Mar 6', u'8:30 AM', None, u'Q4', u'1.8%', u'2.5%', u'2.5%', u'3.2%', u'-'
u'Mar 6', u'8:30 AM', u'Unit Labor Costs - Rev', u'Q4', u'-0.1%', u'-0.8%', u'-0.7%', u'-2.0%', u'-1.6%'
u'Mar 6', u'10:00 AM', u'Factory Orders', u'Jan', u'-0.7%', u'-0.3%', u'-0.5%', u'-2.0%', u'-1.5%'
u'Mar 6', u'10:30 AM', u'Natural Gas Inventories', u'03/01', u'-152 bcf', u'NA', u'NA', u'-95 bcf', u'-'
u'Mar 7', u'8:30 AM', u'Nonfarm Payrolls', u'Feb', u'175K', u'165K', u'163K', u'129K', u'113K'
u'Mar 7', u'8:30 AM', u'Nonfarm Private Payrolls', u'Feb', u'162K', u'175K', u'170K', u'145K', u'142K'
u'Mar 7', u'8:30 AM', u'Unemployment Rate', u'Feb', u'6.7%', u'6.5%', u'6.6%', u'6.6%', u'-'
u'Mar 7', u'8:30 AM', u'Hourly Earnings', u'Feb', u'0.4%', u'0.1%', u'0.2%', u'0.2%', u'-'
u'Mar 7', u'8:30 AM', u'Average Workweek', u'Feb', u'34.2', u'34.5', u'34.4', u'34.3', u'34.4'
u'Mar 7', u'8:30 AM', u'Trade Balance', u'Jan', u'-$39.1B', u'-$37.0B', u'-$37.3B', u'-$39.0B', u'-$38.7B'
u'Mar 7', u'3:00 PM', u'Consumer Credit', u'Jan', u'$13.7B', u'$9.0B', u'$11.8B', u'$18.8B', u'-'
u'Mar 11', u'10:00 AM', u'Wholesale Inventories', u'Jan', u'0.6%', u'0.3%', u'0.4%', u'0.4%', u'0.3%'
u'Mar 11', u'10:00 AM', u'JOLTS - Job Openings', u'Jan', u'3.974M', u'NA', u'NA', u'3.914M', u'3.990M'
u'Mar 12', u'7:00 AM', u'MBA Mortgage Index', u'03/08', u'-2.1%', u'NA', u'NA', u'9.4%', u'-'
u'Mar 12', u'10:30 AM', u'Crude Inventories', u'03/08', u'6.18M', u'NA', u'NA', u'1.429M', u'-'
u'Mar 12', u'2:00 PM', u'Treasury Budget', u'Feb', u'-', u'-$195B', u'-$195B', u'-$203.5B', u'-'
u'Mar 13', u'8:30 AM', u'Initial Claims', u'03/08', u'315K', u'335K', u'329K', u'324K', u'323K'
u'Mar 13', u'8:30 AM', u'Continuing Claims', u'03/01', u'2855K', u'2950K', u'2925K', u'2903K', u'2907K'
u'Mar 13', u'8:30 AM', u'Retail Sales', u'Feb', u'0.3%', u'0.2%', u'0.2%', u'-0.6%', u'-0.4%'
u'Mar 13', u'8:30 AM', None, u'Feb', u'0.3%', u'0.2%', u'0.2%', u'-0.3%', u'0.0%'
u'Mar 13', u'8:30 AM', None, u'Feb', u'0.6%', u'NA', u'NA', u'0.2%', u'-'
u'Mar 13', u'8:30 AM', None, u'Feb', u'-0.2%', u'NA', u'NA', u'0.3%', u'-'
u'Mar 13', u'10:00 AM', u'Business Inventories', u'Jan', u'0.4%', u'0.3%', u'0.3%', u'0.5%', u'-'
u'Mar 13', u'10:30 AM', u'Natural Gas Inventories', u'03/08', u'-195 bcf', u'NA', u'NA', u'-152 bcf', u'-'
